Repeat, dataset, non-iid, non-iid-class, non-iid-strategy, normalize, B, C, E, max_rounds, name, num_tolerance, embedding_dim, hidden_units, loss, metrics, name, lr, best_metric$$test_accuracy, total_time, total_rounds, server_send, server_receive, time_detail,,,,,,,
10, femnist, False, None, natural, True,1000,1,1,3000, FedSGD,500, None, None, categorical_crossentropy, ['accuracy'], LeNet,0.1, 0.85313(0.01042), 138.91667(12.14132), 2062.90000(180.96875), 39.88542(3.49683), 54.53736(4.78397), 0.05348(0.00065), 0.69340(0.00096), 0.51667(0.00224), 0.11787(0.00106), 0.65449(0.00173), 0.22894(0.00135), 0.40099(0.00153), 0.00139(0.00002)
30, femnist, True, None, natural, True,8,0.1,10,3000, FedAvg,100, None, None, categorical_crossentropy, ['accuracy'], LeNet,0.1, 0.79882(0.02009), 11.71833(2.43084), 233.00000(50.20956), 4.42469(0.95144), 0.78845(0.16795), 0.02012(0.00278), 0.87698(0.02318), 0.02596(0.00148), 0.00541(0.00151), 0.61287(0.00726), 0.25492(0.01831), 0.42634(0.01944), 0.00153(0.00010)
2, femnist, True, None, natural, True,1000,1,1,3000, FedSGD,500, None, None, categorical_crossentropy, ['accuracy'], LeNet,0.1, 0.85052(0.00753), 132.64167(0.22500), 1979.00000(8.00000), 38.26184(0.15212), 52.31737(0.20882), 0.05363(0.00135), 0.69044(0.00134), 0.51358(0.00104), 0.11981(0.00143), 0.65531(0.00244), 0.22881(0.00056), 0.39726(0.00007), 0.00138(0.00003)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10, mnist, False, None, average, True,16,0.1,10,3000, FedAvg,100, None, None, categorical_crossentropy, ['accuracy'], MLP,0.1, 0.98760(0.00087), 21.90500(2.89112), 302.80000(39.49886), 76.41354(9.96397), 11.21473(1.46223), 0.02799(0.00112), 1.57538(0.00208), 0.28548(0.00154), 0.03318(0.00058), 1.37947(0.00484), 0.18383(0.00294), 0.56177(0.00235), 0.00127(0.00004)
10, mnist, False, None, average, True,1000,1,1,3000, FedSGD,100, None, None, categorical_crossentropy, ['accuracy'], MLP,0.5, 0.98550(0.00109), 141.03333(12.85252), 1168.70000(106.99444), 296.01566(27.07817), 404.02450(36.99314), 0.05456(0.00057), 0.76999(0.00205), 2.42361(0.00931), 0.15629(0.00137), 1.26199(0.00394), 0.20089(0.00274), 0.32532(0.00184), 0.00080(0.00003)
10, mnist, True,1, average, True,16,0.1,10,3000, FedAvg,100, None, None, categorical_crossentropy, ['accuracy'], MLP,0.1, 0.97623(0.00417), 72.58167(14.83821), 1000.30000(205.50477), 252.36510(51.83974), 37.04429(7.60938), 0.02810(0.00084), 1.57377(0.00209), 0.28892(0.00093), 0.03343(0.00028), 1.38815(0.00492), 0.17623(0.00228), 0.56327(0.00236), 0.00128(0.00002)
10, mnist, True,2, average, True,16,0.1,10,3000, FedAvg,100, None, None, categorical_crossentropy, ['accuracy'], MLP,0.1, 0.98323(0.00178), 39.53333(6.59663), 543.90000(89.57170), 137.23344(22.59617), 20.14313(3.31753), 0.02818(0.00070), 1.57390(0.00235), 0.28597(0.00114), 0.03320(0.00036), 1.38722(0.00985), 0.18084(0.00242), 0.56004(0.00336), 0.00129(0.00005)
10, mnist, True,3, average, True,16,0.1,10,3000, FedAvg,100, None, None, categorical_crossentropy, ['accuracy'], MLP,0.1, 0.98470(0.00139), 32.29333(5.18324), 444.30000(71.02542), 112.10895(17.91747), 16.45583(2.63026), 0.02784(0.00072), 1.57176(0.00157), 0.28547(0.00123), 0.03305(0.00038), 1.38274(0.00714), 0.18289(0.00436), 0.55836(0.00543), 0.00128(0.00004)
10, mnist, True,1, average, True,1000,1,1,3000, FedSGD,100, None, None, categorical_crossentropy, ['accuracy'], MLP,0.5, 0.98477(0.00075), 151.41833(15.10452), 1252.70000(123.69644), 317.27636(31.30478), 433.06814(42.76683), 0.05465(0.00022), 0.77071(0.00107), 2.42607(0.00923), 0.15591(0.00131), 1.26451(0.00532), 0.19909(0.00218), 0.32694(0.00246), 0.00079(0.00002)
10, mnist, True,2, average, True,1000,1,1,3000, FedSGD,100, None, None, categorical_crossentropy, ['accuracy'], MLP,0.5, 0.98537(0.00103), 142.39667(15.19625), 1175.40000(124.19436), 297.71400(31.43096), 406.34606(42.93828), 0.05466(0.00057), 0.77025(0.00103), 2.43164(0.00944), 0.15629(0.00146), 1.26765(0.00415), 0.19782(0.00266), 0.32767(0.00218), 0.00078(0.00002)
10, mnist, True,3, average, True,1000,1,1,3000, FedSGD,100, None, None, categorical_crossentropy, ['accuracy'], MLP,0.5, 0.98530(0.00078), 147.54667(13.68920), 1216.10000(111.84941), 308.01318(28.30677), 420.41501(38.66920), 0.05478(0.00062), 0.76962(0.00092), 2.43558(0.01022), 0.15580(0.00109), 1.26552(0.00530), 0.20034(0.00316), 0.32678(0.00382), 0.00079(0.00003)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10, semantic140, False, None, natural, False,4,0.1,10,10000, FedAvg,500,0,64, binary_crossentropy, ['binary_accuracy'], StackedLSTM,0.0001, 0.75425(0.00568), 403.33167(40.17061), 2833.60000(281.28960), 110.84435(11.00209), 19.55677(1.94071), 0.02091(0.00016), 6.30675(0.03963), 0.02796(0.00039), 0.00338(0.00010), 0.70964(0.00196), 0.22625(0.00144), 0.51480(0.00148), 0.00140(0.00003)
10, semantic140, False, None, natural, False,1000,1,1,10000, FedSGD,500,0,64, binary_crossentropy, ['binary_accuracy'], StackedLSTM,0.05, 0.75612(0.01190), 401.05167(37.60504), 4941.50000(429.03059), 192.89019(16.76070), 263.34297(22.88912), 0.05121(0.00058), 1.39724(0.00677), 0.91482(0.00976), 0.13740(0.03011), 0.76369(0.02764), 0.21232(0.00057), 0.19759(0.00441), 0.00103(0.00001)
10, semantic140, True, None, natural, False,4,0.1,10,10000, FedAvg,500,0,64, binary_crossentropy, ['binary_accuracy'], StackedLSTM,0.0001, 0.74464(0.01165), 298.92667(46.37535), 2087.40000(325.35494), 81.69201(12.73038), 14.44690(2.24948), 0.02155(0.00034), 5.47542(0.01067), 0.03157(0.00038), 0.00302(0.00005), 0.66783(0.00130), 0.23412(0.00160), 0.50771(0.00082), 0.00129(0.00002)
10, semantic140, True, None, natural, False,1000,1,1,10000, FedSGD,500,0,64, binary_crossentropy, ['binary_accuracy'], StackedLSTM,0.05, 0.76164(0.00757), 402.77333(32.94893), 4844.50000(392.65538), 189.15593(15.33182), 258.22364(20.93312), 0.05067(0.00049), 1.35187(0.00252), 0.95514(0.00293), 0.17784(0.00163), 0.81672(0.00162), 0.21325(0.00033), 0.18805(0.00189), 0.00103(0.00001)
